ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0075,1,2020-12-23,14.0,CORRIENTES AV. Y 9 DE JULIO AV.,AVENIDA,True,1,-58.38220928,-34.60373898,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,23.0
2020-0076,1,2020-12-24,12.0,ALVAREZ JONTE AV. Y CHIVILCOY,AVENIDA,True,10,-58.49794468,-34.61565025,AUTO-PASAJEROS,PASAJEROS,CONDUCTOR,AUTO,FEMENINO,78.0
2020-0077,2,2020-12-25,6.0,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,True,15,-58.47220945,-34.60111373,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,FEMENINO,30.0
2020-0077,2,2020-12-25,6.0,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,True,15,-58.47220945,-34.60111373,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,24.0
2020-0078,1,2020-12-25,5.0,BARCO CENTENERA DEL 1118,CALLE,False,7,-58.43706741,-34.63217813,BICICLETA-PASAJEROS,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,26.0
2020-0079,1,2020-12-27,4.0,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",GRAL PAZ,True,12,-58.49332664,-34.54836855,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,28.0
2021-0001,1,2021-01-06,18.0,AU FRONDIZI KM. 3,AUTOPISTA,False,1,-58.37960727,-34.62622851,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,36.0
2021-0002,1,2021-01-07,10.0,"CASTRO, EMILIO AV. Y MURGUIONDO",AVENIDA,True,9,-58.51061062,-34.64972472,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,47.0
2021-0003,1,2021-01-10,7.0,"AU 25 DE MAYO KM. 3,7",AUTOPISTA,False,7,-58.43052224,-34.62941648,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,27.0
2021-0004,1,2021-01-11,9.0,CASEROS AV. Y GUARANI,AVENIDA,True,5,-58.41455544,-34.63866836,PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,61.0
2021-0005,1,2021-01-11,21.0,"PERON, EVA AV. 3800",AVENIDA,False,9,-58.46774439,-34.64730145,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,73.0
2021-0006,1,2021-01-12,21.0,AU ILLIA y SARMIENTO AV.,AUTOPISTA,True,14,-58.40786274,-34.56726817,MOTO-CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23.0
2021-0007,1,2021-01-18,10.0,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,True,15,-58.48744301,-34.58622275,MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,84.0
2021-0008,1,2021-01-22,23.0,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,True,4,-58.41657793,-34.65476216,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,28.0
2021-0009,1,2021-01-23,5.0,PAYSANDU Y GAONA,AVENIDA,True,6,-58.45351111,-34.61134937,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,31.0
2021-0010,1,2021-01-23,8.0,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV. ",GRAL PAZ,True,12,-58.5007381,-34.5497951,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,28.0
2021-0011,1,2021-01-27,1.0,SANTA FE AV. 1675,AVENIDA,False,2,-58.39144148,-34.59564871,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,21.0
